ReviewID,ProductID,ProductName,Rating,ReviewDate,ReviewText
28,22961,JAM MAKING SET PRINTED,4,2011-06-15,"Beautiful item, exactly as described. I would recommend it."
29,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1,2011-06-06,The product arrived in poor condition. I used it for a few days.
30,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-08-09,Useful and practical item. It works better than I expected. The product has both advantages and disadvantages.
31,22114,HOT WATER BOTTLE TEA AND SYMPATHY,2,2011-01-12,"The item looks nice, but the quality is disappointing."
32,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2011-01-21,"Average product, acceptable but nothing special."
33,21258,VICTORIAN SEWING BOX LARGE,2,2011-06-20,The material feels cheap and unreliable.
34,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-05-29,The product is not worth the money. The description was mostly accurate.
35,85099C,JUMBO BAG BAROQUE BLACK WHITE,4,2011-04-21,The product arrived in poor condition.
36,22961,JAM MAKING SET PRINTED,5,2011-09-06,Useful and practical item. It works better than I expected. The description was mostly accurate.
37,22752,SET 7 BABUSHKA NESTING BOXES,5,2011-07-31,"The product quality is good, but the packaging was average."
38,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-06-04,Delivery was normal and the product is acceptable. I checked similar products before buying.
39,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-05-05,The material feels cheap and unreliable.
40,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-05-10,I would buy this product again because it is reliable and practical. I checked similar products before buying.
41,22386,JUMBO BAG PINK POLKADOT,5,2011-06-12,I would buy this product again because it is reliable and practical. The description was mostly accurate.
42,22633,HAND WARMER UNION JACK,5,2011-04-09,"Very useful product, solid and nicely made. The description was mostly accurate."
43,22632,HAND WARMER RED POLKA DOT,4,2010-12-09,"Very useful product, solid and nicely made. For this price, the result is acceptable."
44,22961,JAM MAKING SET PRINTED,5,2011-02-02,"The product quality is good, but the packaging was average. The first impression was different than expected."
45,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-01-11,"I like the product, but the material could feel a little stronger. It is hard to compare with other items."
46,22633,HAND WARMER UNION JACK,4,2011-03-30,"Excellent product, very good quality and beautiful design."
47,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-03-02,Bad quality and poor durability. It is hard to compare with other items.
48,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2011-09-01,"The product quality is good, but the packaging was average."
49,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-05-27,"The product quality is good, but the packaging was average."
50,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2011-06-08,"The item is usable, but I would not buy it again. For this price, the result is acceptable."
51,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2011-03-06,"It works as described, but the quality could be better."
52,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-08-28,"Delivery was fast, but the product quality was poor. My opinion may change after longer use."
53,22752,SET 7 BABUSHKA NESTING BOXES,5,2011-06-16,"Beautiful item, exactly as described. I would recommend it. It is hard to compare with other items."
54,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-03-14,Delivery was normal and the product is acceptable.
55,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-26,It is a standard item with no major advantages or disadvantages.
56,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-08-01,"Excellent product, very good quality and beautiful design. The product has both advantages and disadvantages."
57,22114,HOT WATER BOTTLE TEA AND SYMPATHY,2,2011-01-20,"The design is nice, but the item does not work well."
58,22633,HAND WARMER UNION JACK,4,2011-10-19,"Good quality, but the price is slightly higher than I would like. The first impression was different than expected."
59,21258,VICTORIAN SEWING BOX LARGE,5,2011-05-31,"Very useful product, solid and nicely made."
60,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2011-04-12,"The product is okay, but I expected a little more. It is hard to compare with other items."
61,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-08-26,"The product works, although the design is not very impressive."
62,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-07-13,"I am satisfied with this purchase, although delivery could be faster. I checked similar products before buying."
63,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2011-02-24,"Some parts are good, but other details feel average. I noticed this after using the product."
64,22633,HAND WARMER UNION JACK,5,2010-12-02,"The product works, although the design is not very impressive."
65,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-07-28,Useful and practical item. It works better than I expected. I checked similar products before buying.
66,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-08-20,The item looks elegant and performs as expected.
67,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-11-12,"The product has some useful features, but overall I am not satisfied. I checked similar products before buying."
68,22632,HAND WARMER RED POLKA DOT,4,2011-08-09,"Good quality, but the price is slightly higher than I would like. I noticed this after using the product."
69,21258,VICTORIAN SEWING BOX LARGE,4,2010-12-21,"I like the product, but the material could feel a little stronger."
70,22752,SET 7 BABUSHKA NESTING BOXES,4,2010-12-04,"The item is usable, but I am not fully convinced."
71,71053,WHITE METAL LANTERN,4,2011-09-08,"Excellent product, very good quality and beautiful design."
72,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2010-12-08,"It looked good at first, but after using it I noticed several problems."
73,71053,WHITE METAL LANTERN,4,2011-03-20,"The item is usable, but I am not fully convinced. For this price, the result is acceptable."
74,22386,JUMBO BAG PINK POLKADOT,5,2011-06-19,"Very useful product, solid and nicely made."
75,22633,HAND WARMER UNION JACK,5,2011-06-14,Nice design and good quality for the price.
76,22633,HAND WARMER UNION JACK,5,2010-12-11,"The product quality is good, but the packaging was average."
77,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2011-11-19,"Delivery was fast, but the product quality was poor. My opinion may change after longer use."
78,71053,WHITE METAL LANTERN,5,2011-11-22,"It looked good at first, but after using it I noticed several problems."
79,21258,VICTORIAN SEWING BOX LARGE,5,2011-06-27,Great value for money and the product works well. The first impression was different than expected.
80,22386,JUMBO BAG PINK POLKADOT,5,2011-03-22,The item looks elegant and performs as expected. I used it for a few days.
81,71053,WHITE METAL LANTERN,2,2011-08-25,"The item is usable, but I would not buy it again."
82,21258,VICTORIAN SEWING BOX LARGE,5,2011-11-25,"Very useful product, solid and nicely made."
83,21258,VICTORIAN SEWING BOX LARGE,2,2011-04-27,"The product did not meet my expectations. For this price, the result is acceptable."
84,22633,HAND WARMER UNION JACK,4,2011-01-24,"I am satisfied with this purchase, although delivery could be faster. The product has both advantages and disadvantages."
85,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2011-05-11,"Some parts are good, but other details feel average."
86,22386,JUMBO BAG PINK POLKADOT,2,2011-06-12,"Average product, acceptable but nothing special."
87,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2011-06-17,The purchase was neither very good nor very bad.
88,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,2011-05-18,Delivery was normal and the product is acceptable. My opinion may change after longer use.
89,84406B,CREAM CUPID HEARTS COAT HANGER,4,2011-04-21,"I am satisfied with this purchase, although delivery could be faster. The first impression was different than expected."
90,22386,JUMBO BAG PINK POLKADOT,4,2011-09-26,Neutral experience. The item is usable but not impressive. It is hard to compare with other items.
91,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2011-09-09,Great value for money and the product works well.
92,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2011-01-09,The product arrived in poor condition. It is hard to compare with other items.
93,22386,JUMBO BAG PINK POLKADOT,5,2011-09-30,I would buy this product again because it is reliable and practical. I checked similar products before buying.
94,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2011-02-18,"The product is not bad, but I would not call it excellent. The product has both advantages and disadvantages."
95,84029E,RED WOOLLY HOTTIE WHITE HEART,5,2011-10-03,"Excellent product, very good quality and beautiful design."
96,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-07-11,Nice design and good quality for the price. The product has both advantages and disadvantages.
97,21258,VICTORIAN SEWING BOX LARGE,5,2011-07-28,Nice design and good quality for the price. I noticed this after using the product.
98,71053,WHITE METAL LANTERN,4,2011-01-01,"Good product overall, even if it is not perfect. I checked similar products before buying."
99,22114,HOT WATER BOTTLE TEA AND SYMPATHY,2,2011-10-30,"The item looks nice, but the quality is disappointing."
100,21730,GLASS STAR FROSTED T-LIGHT HOLDER,5,2011-01-01,"It works as described, but the quality could be better."
101,84406B,CREAM CUPID HEARTS COAT HANGER,4,2011-03-06,I would buy this product again because it is reliable and practical. I used it for a few days.
102,22386,JUMBO BAG PINK POLKADOT,4,2011-11-27,"I am satisfied with this purchase, although delivery could be faster. This may depend on customer expectations."
103,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-05-20,"I am satisfied with this purchase, although delivery could be faster."
104,84406B,CREAM CUPID HEARTS COAT HANGER,4,2011-07-19,"Overall positive experience with this product. For this price, the result is acceptable."
105,71053,WHITE METAL LANTERN,5,2011-07-08,I would buy this product again because it is reliable and practical. The description was mostly accurate.
106,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-02-12,The product arrived in poor condition. I checked similar products before buying.
107,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-03-17,"The product has some useful features, but overall I am not satisfied. This may depend on customer expectations."
108,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2011-06-02,"The item looks elegant and performs as expected. For this price, the result is acceptable."
109,22632,HAND WARMER RED POLKA DOT,3,2011-08-01,It is a standard item with no major advantages or disadvantages.
110,22632,HAND WARMER RED POLKA DOT,3,2011-08-22,"The item is usable, but I am not fully convinced. The product has both advantages and disadvantages."
111,85099C,JUMBO BAG BAROQUE BLACK WHITE,4,2011-03-01,The item looks elegant and performs as expected.
112,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-05-27,Nice design and good quality for the price. I used it for a few days.
113,22114,HOT WATER BOTTLE TEA AND SYMPATHY,3,2011-02-13,"The design is nice, but the item does not work well."
114,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-05-17,"The product is okay, but I expected a little more."
115,22632,HAND WARMER RED POLKA DOT,3,2011-05-10,I expected better quality for this price.
116,71053,WHITE METAL LANTERN,5,2011-07-31,I would buy this product again because it is reliable and practical.
117,21730,GLASS STAR FROSTED T-LIGHT HOLDER,5,2011-02-20,"I like the product, but the material could feel a little stronger. The product has both advantages and disadvantages."
118,22752,SET 7 BABUSHKA NESTING BOXES,3,2011-04-12,"Quality is acceptable, but there are better alternatives. It is hard to compare with other items."
119,71053,WHITE METAL LANTERN,4,2011-07-22,"Beautiful item, exactly as described. I would recommend it. For this price, the result is acceptable."
120,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,2011-08-04,"Overall positive experience with this product. For this price, the result is acceptable."
121,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-10-30,It is a standard item with no major advantages or disadvantages.
122,22386,JUMBO BAG PINK POLKADOT,4,2011-07-05,Great value for money and the product works well.
123,71053,WHITE METAL LANTERN,5,2011-06-09,"Very useful product, solid and nicely made."
124,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-03-30,The product met my expectations and arrived in acceptable condition.
125,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-05,Great value for money and the product works well. My opinion may change after longer use.
126,71053,WHITE METAL LANTERN,5,2011-06-30,"Very useful product, solid and nicely made. For this price, the result is acceptable."
127,22961,JAM MAKING SET PRINTED,5,2011-03-05,Delivery was normal and the product is acceptable. The product has both advantages and disadvantages.
128,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,2010-12-13,It is a standard item with no major advantages or disadvantages. It is hard to compare with other items.
129,22386,JUMBO BAG PINK POLKADOT,4,2011-03-21,"Quality is acceptable, but there are better alternatives."
130,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1,2011-05-25,"The item is usable, but I would not buy it again. I used it for a few days."
131,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2011-06-30,"I would buy this product again because it is reliable and practical. For this price, the result is acceptable."
132,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1,2011-01-27,"The item is usable, but I would not buy it again. I checked similar products before buying."
133,22386,JUMBO BAG PINK POLKADOT,4,2011-07-10,The product met my expectations and arrived in acceptable condition.
134,22961,JAM MAKING SET PRINTED,5,2010-12-17,"Excellent product, very good quality and beautiful design. My opinion may change after longer use."
135,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2011-10-12,I would buy this product again because it is reliable and practical. This may depend on customer expectations.
136,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2011-03-23,The product met my expectations and arrived in acceptable condition. My opinion may change after longer use.
137,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,2011-03-03,"Good product overall, even if it is not perfect. I noticed this after using the product."
138,22633,HAND WARMER UNION JACK,3,2011-03-24,The product did not meet my expectations. The description was mostly accurate.
139,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-07-08,The product feels fragile and not very reliable.
140,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-10-27,Overall positive experience with this product.
141,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-05-05,"It looked good at first, but after using it I noticed several problems."
142,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-10-17,I am disappointed with this purchase.
143,22633,HAND WARMER UNION JACK,2,2011-09-06,"The design is nice, but the item does not work well."
144,22752,SET 7 BABUSHKA NESTING BOXES,5,2011-06-05,The item looks elegant and performs as expected.
145,21258,VICTORIAN SEWING BOX LARGE,5,2011-11-06,"Excellent product, very good quality and beautiful design. I used it for a few days."
146,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,2011-10-01,"The product has some useful features, but overall I am not satisfied."
147,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-04-01,"I am satisfied with this purchase, although delivery could be faster. The product has both advantages and disadvantages."
148,22632,HAND WARMER RED POLKA DOT,3,2011-09-26,It is a standard item with no major advantages or disadvantages.
149,84406B,CREAM CUPID HEARTS COAT HANGER,5,2011-02-27,Nice design and good quality for the price. I checked similar products before buying.
150,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-10-30,Nice design and good quality for the price. This may depend on customer expectations.
151,22114,HOT WATER BOTTLE TEA AND SYMPATHY,2,2011-05-22,The product feels fragile and not very reliable. I checked similar products before buying.
152,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2011-09-24,Overall positive experience with this product. The description was mostly accurate.
153,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-03-17,The product met my expectations and arrived in acceptable condition.
154,22632,HAND WARMER RED POLKA DOT,4,2011-04-30,"The product quality is good, but the packaging was average."
155,22114,HOT WATER BOTTLE TEA AND SYMPATHY,2,2011-09-02,Delivery was normal and the product is acceptable. I used it for a few days.
156,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-03-29,"The product is okay, but I expected a little more."
157,71053,WHITE METAL LANTERN,5,2011-01-16,Delivery was normal and the product is acceptable.
158,71053,WHITE METAL LANTERN,5,2011-06-20,"Good product overall, even if it is not perfect. My opinion may change after longer use."
159,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2011-01-30,Useful and practical item. It works better than I expected. I used it for a few days.
160,71053,WHITE METAL LANTERN,5,2011-05-08,The item looks elegant and performs as expected. I noticed this after using the product.
161,22633,HAND WARMER UNION JACK,4,2011-10-01,"I am satisfied with this purchase, although delivery could be faster. For this price, the result is acceptable."
162,21258,VICTORIAN SEWING BOX LARGE,3,2011-05-25,The item looks elegant and performs as expected. I noticed this after using the product.
163,22632,HAND WARMER RED POLKA DOT,4,2011-01-08,Useful and practical item. It works better than I expected. I noticed this after using the product.
164,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,2011-02-04,The product is fine for the price.
165,85099C,JUMBO BAG BAROQUE BLACK WHITE,5,2011-10-19,"The product quality is good, but the packaging was average. It is hard to compare with other items."
166,22386,JUMBO BAG PINK POLKADOT,4,2011-11-25,Great value for money and the product works well.
167,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-03-28,Great value for money and the product works well.
168,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-08-30,"Very useful product, solid and nicely made."
169,22386,JUMBO BAG PINK POLKADOT,4,2011-11-27,"Great value for money and the product works well. For this price, the result is acceptable."
170,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-05-12,"Beautiful item, exactly as described. I would recommend it. I used it for a few days."
171,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-05-03,Neutral experience. The item is usable but not impressive. The first impression was different than expected.
172,84406B,CREAM CUPID HEARTS COAT HANGER,5,2011-07-25,"I like the product, but the material could feel a little stronger. My opinion may change after longer use."
173,22632,HAND WARMER RED POLKA DOT,3,2011-02-06,"The product works, although the design is not very impressive. The product has both advantages and disadvantages."
174,71053,WHITE METAL LANTERN,3,2011-04-10,It is a standard item with no major advantages or disadvantages.
175,22632,HAND WARMER RED POLKA DOT,4,2011-01-26,Overall positive experience with this product.
176,22633,HAND WARMER UNION JACK,5,2011-08-05,"The design is nice, but the item does not work well. It is hard to compare with other items."
177,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2011-03-12,I have mixed feelings about this product.
178,85099C,JUMBO BAG BAROQUE BLACK WHITE,5,2011-09-12,"It works as described, but the quality could be better."
179,22752,SET 7 BABUSHKA NESTING BOXES,3,2011-02-23,The material feels cheap and unreliable.
180,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2011-04-20,"The item is usable, but I am not fully convinced."
181,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-06-02,"Good quality, but the price is slightly higher than I would like."
182,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2011-05-14,It is a standard item with no major advantages or disadvantages.
183,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2010-12-10,"Good product overall, even if it is not perfect. For this price, the result is acceptable."
184,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,2011-02-25,"Good product overall, even if it is not perfect."
185,84029E,RED WOOLLY HOTTIE WHITE HEART,5,2011-05-13,"The item is usable, but I am not fully convinced."
186,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,2011-02-27,"The product works, although the design is not very impressive. For this price, the result is acceptable."
187,71053,WHITE METAL LANTERN,4,2011-05-30,"It works as described, but the quality could be better."
188,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2011-07-17,"Good quality, but the price is slightly higher than I would like. The product has both advantages and disadvantages."
189,71053,WHITE METAL LANTERN,4,2011-10-27,"Useful and practical item. It works better than I expected. For this price, the result is acceptable."
190,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-01-14,"Very useful product, solid and nicely made. The product has both advantages and disadvantages."
191,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2011-10-07,"The product works, although the design is not very impressive."
192,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,2010-12-21,"Very useful product, solid and nicely made."
193,71053,WHITE METAL LANTERN,4,2011-05-25,"The product quality is good, but the packaging was average."
194,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1,2011-01-04,"Bad quality and poor durability. For this price, the result is acceptable."
195,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2011-10-11,"Very useful product, solid and nicely made."
196,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-03-13,"I am satisfied with this purchase, although delivery could be faster. This may depend on customer expectations."
197,22633,HAND WARMER UNION JACK,4,2011-01-17,"Very useful product, solid and nicely made."
198,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-07-03,Nice design and good quality for the price. I used it for a few days.
199,22961,JAM MAKING SET PRINTED,5,2010-12-20,Great value for money and the product works well.
200,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-07-03,"The product is okay, but I expected a little more."
201,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1,2011-06-19,The product feels fragile and not very reliable.
202,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2011-09-20,"Quality is acceptable, but there are better alternatives. I used it for a few days."
203,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-07-06,It is a standard item with no major advantages or disadvantages. I noticed this after using the product.
204,22632,HAND WARMER RED POLKA DOT,5,2011-06-29,"Good quality, but the price is slightly higher than I would like. I checked similar products before buying."
205,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-07-11,Delivery was normal and the product is acceptable. The first impression was different than expected.
206,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5,2011-04-27,Overall positive experience with this product. The product has both advantages and disadvantages.
207,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-11-03,"Good product overall, even if it is not perfect."
208,22386,JUMBO BAG PINK POLKADOT,5,2011-07-05,"Good product overall, even if it is not perfect. I used it for a few days."
209,22386,JUMBO BAG PINK POLKADOT,4,2010-12-24,"The product quality is good, but the packaging was average. My opinion may change after longer use."
210,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2011-05-24,"Some parts are good, but other details feel average."
211,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-10-14,"Excellent product, very good quality and beautiful design. I noticed this after using the product."
212,22632,HAND WARMER RED POLKA DOT,3,2011-04-26,"It works as described, but the quality could be better. For this price, the result is acceptable."
213,22633,HAND WARMER UNION JACK,4,2011-02-25,"The product quality is good, but the packaging was average. I noticed this after using the product."
214,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-08-14,"It does the job, but nothing more."
215,22114,HOT WATER BOTTLE TEA AND SYMPATHY,3,2010-12-06,"Some parts are good, but other details feel average."
216,71053,WHITE METAL LANTERN,5,2011-06-12,Neutral experience. The item is usable but not impressive. I checked similar products before buying.
217,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1,2011-02-27,The product did not meet my expectations. I noticed this after using the product.
218,71053,WHITE METAL LANTERN,4,2010-12-02,Overall positive experience with this product. I used it for a few days.
219,22632,HAND WARMER RED POLKA DOT,3,2011-05-10,The material feels cheap and unreliable.
220,21730,GLASS STAR FROSTED T-LIGHT HOLDER,5,2011-03-31,"Very useful product, solid and nicely made. The product has both advantages and disadvantages."
221,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2011-09-24,"I am satisfied with this purchase, although delivery could be faster."
222,21258,VICTORIAN SEWING BOX LARGE,4,2010-12-26,"I am satisfied with this purchase, although delivery could be faster."
223,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2011-04-30,"Good quality, but the price is slightly higher than I would like."
224,84406B,CREAM CUPID HEARTS COAT HANGER,4,2011-07-23,The purchase was neither very good nor very bad. I checked similar products before buying.
225,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-10-30,"I am satisfied with this purchase, although delivery could be faster."
226,85099C,JUMBO BAG BAROQUE BLACK WHITE,3,2011-07-28,Delivery was normal and the product is acceptable.
227,71053,WHITE METAL LANTERN,5,2011-06-07,"It works as described, but the quality could be better. The first impression was different than expected."
228,22632,HAND WARMER RED POLKA DOT,5,2011-10-08,"I am satisfied with this purchase, although delivery could be faster. It is hard to compare with other items."
229,22633,HAND WARMER UNION JACK,5,2011-11-22,"Very useful product, solid and nicely made."
230,71053,WHITE METAL LANTERN,5,2011-05-21,"Excellent product, very good quality and beautiful design."
231,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-11,"The product works, although the design is not very impressive."
232,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2010-12-18,The product is not worth the money.
233,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-09-30,"Delivery was fast, but the product quality was poor. The description was mostly accurate."
234,22633,HAND WARMER UNION JACK,4,2011-11-06,The item looks elegant and performs as expected.
235,84406B,CREAM CUPID HEARTS COAT HANGER,5,2011-01-31,"Good product overall, even if it is not perfect."
236,22633,HAND WARMER UNION JACK,3,2011-09-21,"Quality is acceptable, but there are better alternatives. I noticed this after using the product."
237,22632,HAND WARMER RED POLKA DOT,4,2011-07-20,Useful and practical item. It works better than I expected.
238,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-05-18,I would buy this product again because it is reliable and practical.
239,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2011-03-16,"Excellent product, very good quality and beautiful design."
240,22633,HAND WARMER UNION JACK,4,2011-11-21,Overall positive experience with this product. It is hard to compare with other items.
241,22632,HAND WARMER RED POLKA DOT,5,2010-12-13,"It works as described, but the quality could be better."
242,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,2011-11-09,The product feels fragile and not very reliable. I used it for a few days.
